street	city	zip	state	beds	baths	sq__ft	type	sale_date	price	latitude	longitude
7511 OAKVALE CT	NORTH HIGHLANDS	95660	CA	4	2	1240	Residential	Wed May 21 00:00:00 EDT 2008	123000	38.702792	-121.38221
9 PASTURE CT	SACRAMENTO	95834	CA	3	2	1601	Residential	Wed May 21 00:00:00 EDT 2008	124100	38.628631	-121.488097
3729 BAINBRIDGE DR	NORTH HIGHLANDS	95660	CA	3	2	901	Residential	Wed May 21 00:00:00 EDT 2008	125000	38.701499	-121.37622
3828 BLACKFOOT WAY	ANTELOPE	95843	CA	3	2	1088	Residential	Wed May 21 00:00:00 EDT 2008	126640	38.70974	-121.37377
4108 NORTON WAY	SACRAMENTO	95820	CA	3	1	963	Residential	Wed May 21 00:00:00 EDT 2008	127281	38.537526	-121.478315
1469 JANRICK AVE	SACRAMENTO	95832	CA	3	2	1119	Residential	Wed May 21 00:00:00 EDT 2008	129000	38.476472	-121.501711
9861 CULP WAY	SACRAMENTO	95827	CA	4	2	1380	Residential	Wed May 21 00:00:00 EDT 2008	131200	38.558423	-121.327948
7825 CREEK VALLEY CIR	SACRAMENTO	95828	CA	3	2	1248	Residential	Wed May 21 00:00:00 EDT 2008	132000	38.472122	-121.404199
5201 LAGUNA OAKS DR Unit 140	ELK GROVE	95758	CA	2	2	1039	Condo	Wed May 21 00:00:00 EDT 2008	133000	38.423251	-121.444489
6768 MEDORA DR	NORTH HIGHLANDS	95660	CA	3	2	1152	Residential	Wed May 21 00:00:00 EDT 2008	134555	38.691161	-121.37192
3100 EXPLORER DR	SACRAMENTO	95827	CA	3	2	1380	Residential	Wed May 21 00:00:00 EDT 2008	136500	38.566663	-121.332644
7944 DOMINION WAY	ELVERTA	95626	CA	3	2	1116	Residential	Wed May 21 00:00:00 EDT 2008	138750	38.713182	-121.411227
5201 LAGUNA OAKS DR Unit 162	ELK GROVE	95758	CA	2	2	1039	Condo	Wed May 21 00:00:00 EDT 2008	141000	38.423251	-121.444489
3920 SHINING STAR DR	SACRAMENTO	95823	CA	3	2	1418	Residential	Wed May 21 00:00:00 EDT 2008	146250	38.48742	-121.462459
5031 CORVAIR ST	NORTH HIGHLANDS	95660	CA	3	2	1082	Residential	Wed May 21 00:00:00 EDT 2008	147308	38.658246	-121.375469
7661 NIXOS WAY	SACRAMENTO	95823	CA	4	2	1472	Residential	Wed May 21 00:00:00 EDT 2008	148750	38.479553	-121.463317
7044 CARTHY WAY	SACRAMENTO	95828	CA	4	2	1146	Residential	Wed May 21 00:00:00 EDT 2008	149593	38.49857	-121.420925
2442 LARKSPUR LN	SACRAMENTO	95825	CA	1	1	760	Condo	Wed May 21 00:00:00 EDT 2008	150000	38.58514	-121.403736
4800 WESTLAKE PKWY Unit 2109	SACRAMENTO	95835	CA	2	2	1304	Condo	Wed May 21 00:00:00 EDT 2008	152000	38.658812	-121.542345
2178 63RD AVE	SACRAMENTO	95822	CA	3	2	1207	Residential	Wed May 21 00:00:00 EDT 2008	154000	38.493955	-121.48966
8718 ELK WAY	ELK GROVE	95624	CA	3	2	1056	Residential	Wed May 21 00:00:00 EDT 2008	156896	38.41653	-121.379653
5708 RIDGEPOINT DR	ANTELOPE	95843	CA	2	2	1043	Residential	Wed May 21 00:00:00 EDT 2008	161250	38.72027	-121.331555
7315 KOALA CT	NORTH HIGHLANDS	95660	CA	4	2	1587	Residential	Wed May 21 00:00:00 EDT 2008	161500	38.699251	-121.371414
2622 ERIN DR	SACRAMENTO	95833	CA	4	1	1120	Residential	Wed May 21 00:00:00 EDT 2008	164000	38.613765	-121.488694
8421 SUNBLAZE WAY	SACRAMENTO	95823	CA	4	2	1580	Residential	Wed May 21 00:00:00 EDT 2008	165000	38.450543	-121.432538
7420 ALIX PKWY	SACRAMENTO	95823	CA	4	1	1955	Residential	Wed May 21 00:00:00 EDT 2008	166357	38.489405	-121.452811
3820 NATOMA WAY	SACRAMENTO	95838	CA	4	2	1656	Residential	Wed May 21 00:00:00 EDT 2008	166357	38.636748	-121.422159
4431 GREEN TREE DR	SACRAMENTO	95823	CA	3	2	1477	Residential	Wed May 21 00:00:00 EDT 2008	168000	38.499954	-121.454469
9417 SARA ST	ELK GROVE	95624	CA	3	2	1188	Residential	Wed May 21 00:00:00 EDT 2008	170000	38.415518	-121.370527
8299 HALBRITE WAY	SACRAMENTO	95828	CA	4	2	1590	Residential	Wed May 21 00:00:00 EDT 2008	173000	38.473814	-121.4
7223 KALLIE KAY LN	SACRAMENTO	95823	CA	3	2	1463	Residential	Wed May 21 00:00:00 EDT 2008	174250	38.477553	-121.419463
8156 STEINBECK WAY	SACRAMENTO	95828	CA	4	2	1714	Residential	Wed May 21 00:00:00 EDT 2008	174313	38.474853	-121.406326
7957 VALLEY GREEN DR	SACRAMENTO	95823	CA	3	2	1185	Residential	Wed May 21 00:00:00 EDT 2008	178480	38.465184	-121.434925
1122 WILD POPPY CT	GALT	95632	CA	3	2	1406	Residential	Wed May 21 00:00:00 EDT 2008	178760	38.287789	-121.294715
4520 BOMARK WAY	SACRAMENTO	95842	CA	4	2	1943	Multi-Family	Wed May 21 00:00:00 EDT 2008	179580	38.665724	-121.358576
9012 KIEFER BLVD	SACRAMENTO	95826	CA	3	2	1172	Residential	Wed May 21 00:00:00 EDT 2008	181000	38.547011	-121.366217
5332 SANDSTONE ST	CARMICHAEL	95608	CA	3	1	1152	Residential	Wed May 21 00:00:00 EDT 2008	181872	38.662105	-121.313945
5993 SAWYER CIR	SACRAMENTO	95823	CA	4	3	1851	Residential	Wed May 21 00:00:00 EDT 2008	182587	38.4473	-121.435218
4844 CLYDEBANK WAY	ANTELOPE	95843	CA	3	2	1215	Residential	Wed May 21 00:00:00 EDT 2008	182716	38.714609	-121.347887
306 CAMELLIA WAY	GALT	95632	CA	3	2	1130	Residential	Wed May 21 00:00:00 EDT 2008	182750	38.260443	-121.297864
9021 MADISON AVE	ORANGEVALE	95662	CA	4	2	1603	Residential	Wed May 21 00:00:00 EDT 2008	183200	38.664186	-121.217511
404 6TH ST	GALT	95632	CA	3	1	1479	Residential	Wed May 21 00:00:00 EDT 2008	188741	38.251808	-121.302493
8317 SUNNY CREEK WAY	SACRAMENTO	95823	CA	3	2	1420	Residential	Wed May 21 00:00:00 EDT 2008	189000	38.459041	-121.424644
2617 BASS CT	SACRAMENTO	95826	CA	3	2	1280	Residential	Wed May 21 00:00:00 EDT 2008	192067	38.560767	-121.377471
7005 TIANT WAY	ELK GROVE	95758	CA	3	2	1586	Residential	Wed May 21 00:00:00 EDT 2008	194000	38.422811	-121.423285
7895 CABER WAY	ANTELOPE	95843	CA	3	2	1362	Residential	Wed May 21 00:00:00 EDT 2008	194818	38.711279	-121.393449
7624 BOGEY CT	SACRAMENTO	95828	CA	4	4	2162	Multi-Family	Wed May 21 00:00:00 EDT 2008	195000	38.48009	-121.415102
6930 HAMPTON COVE WAY	SACRAMENTO	95823	CA	3	2	1266	Residential	Wed May 21 00:00:00 EDT 2008	198000	38.44004	-121.421012
8708 MESA BROOK WAY	ELK GROVE	95624	CA	4	2	1715	Residential	Wed May 21 00:00:00 EDT 2008	199500	38.44076	-121.385792
120 GRANT LN	FOLSOM	95630	CA	3	2	1820	Residential	Wed May 21 00:00:00 EDT 2008	200000	38.687742	-121.17104
5907 ELLERSLEE DR	CARMICHAEL	95608	CA	3	1	936	Residential	Wed May 21 00:00:00 EDT 2008	200000	38.664468	-121.32683
17 SERASPI CT	SACRAMENTO	95834	CA	0	0	0	Residential	Wed May 21 00:00:00 EDT 2008	206000	38.631481	-121.50188
170 PENHOW CIR	SACRAMENTO	95834	CA	3	2	1511	Residential	Wed May 21 00:00:00 EDT 2008	208000	38.653439	-121.535169
8345 STAR THISTLE WAY	SACRAMENTO	95823	CA	4	2	1590	Residential	Wed May 21 00:00:00 EDT 2008	212864	38.454349	-121.439239
9080 FRESCA WAY	ELK GROVE	95758	CA	4	2	1596	Residential	Wed May 21 00:00:00 EDT 2008	221000	38.427818	-121.424026
391 NATALINO CIR	SACRAMENTO	95835	CA	2	2	1341	Residential	Wed May 21 00:00:00 EDT 2008	221000	38.67307	-121.506373
8373 BLACKMAN WAY	ELK GROVE	95624	CA	5	3	2136	Residential	Wed May 21 00:00:00 EDT 2008	223058	38.435436	-121.394536
9837 CORTE DORADO CT	ELK GROVE	95624	CA	4	2	1616	Residential	Wed May 21 00:00:00 EDT 2008	227887	38.400676	-121.38101
5037 J PKWY	SACRAMENTO	95823	CA	3	2	1478	Residential	Wed May 21 00:00:00 EDT 2008	231477	38.491399	-121.443547
10245 LOS PALOS DR	RANCHO CORDOVA	95670	CA	3	2	1287	Residential	Wed May 21 00:00:00 EDT 2008	234697	38.593699	-121.31089
6613 NAVION DR	CITRUS HEIGHTS	95621	CA	4	2	1277	Residential	Wed May 21 00:00:00 EDT 2008	235000	38.702855	-121.31308
2887 AZEVEDO DR	SACRAMENTO	95833	CA	4	2	1448	Residential	Wed May 21 00:00:00 EDT 2008	236000	38.618457	-121.509439
9186 KINBRACE CT	SACRAMENTO	95829	CA	4	3	2235	Residential	Wed May 21 00:00:00 EDT 2008	236685	38.463355	-121.358936
4243 MIDDLEBURY WAY	MATHER	95655	CA	3	2	2093	Residential	Wed May 21 00:00:00 EDT 2008	237800	38.547991	-121.280483
1028 FALLON PLACE CT	RIO LINDA	95673	CA	3	2	1193	Residential	Wed May 21 00:00:00 EDT 2008	240122	38.693818	-121.441153
4804 NORIKER DR	ELK GROVE	95757	CA	3	2	2163	Residential	Wed May 21 00:00:00 EDT 2008	242638	38.400974	-121.448424
7713 HARVEST WOODS DR	SACRAMENTO	95828	CA	3	2	1269	Residential	Wed May 21 00:00:00 EDT 2008	244000	38.478198	-121.412911
2866 KARITSA AVE	SACRAMENTO	95833	CA	0	0	0	Residential	Wed May 21 00:00:00 EDT 2008	244500	38.626671	-121.52597
6913 RICHEVE WAY	SACRAMENTO	95828	CA	3	1	958	Residential	Wed May 21 00:00:00 EDT 2008	244960	38.502519	-121.420769
8636 TEGEA WAY	ELK GROVE	95624	CA	5	3	2508	Residential	Wed May 21 00:00:00 EDT 2008	245918	38.443832	-121.382087
5448 MAIDSTONE WAY	CITRUS HEIGHTS	95621	CA	3	2	1305	Residential	Wed May 21 00:00:00 EDT 2008	250000	38.665395	-121.293288
18 OLLIE CT	ELK GROVE	95758	CA	4	2	1591	Residential	Wed May 21 00:00:00 EDT 2008	250000	38.444909	-121.412345
4010 ALEX LN	CARMICHAEL	95608	CA	2	2	1326	Condo	Wed May 21 00:00:00 EDT 2008	250134	38.637028	-121.312963
4901 MILLNER WAY	ELK GROVE	95757	CA	3	2	1843	Residential	Wed May 21 00:00:00 EDT 2008	254200	38.38692	-121.447349
4818 BRITTNEY LEE CT	SACRAMENTO	95841	CA	4	2	1921	Residential	Wed May 21 00:00:00 EDT 2008	254200	38.653917	-121.34218
5529 LAGUNA PARK DR	ELK GROVE	95758	CA	5	3	2790	Residential	Wed May 21 00:00:00 EDT 2008	258000	38.42568	-121.438062
230 CANDELA CIR	SACRAMENTO	95835	CA	3	2	1541	Residential	Wed May 21 00:00:00 EDT 2008	260000	38.656251	-121.547572
4900 71ST ST	SACRAMENTO	95820	CA	3	1	1018	Residential	Wed May 21 00:00:00 EDT 2008	260014	38.53151	-121.421089
12209 CONSERVANCY WAY	RANCHO CORDOVA	95742	CA	0	0	0	Residential	Wed May 21 00:00:00 EDT 2008	263500	38.553867	-121.219141
4236 NATOMAS CENTRAL DR	SACRAMENTO	95834	CA	3	2	1672	Condo	Wed May 21 00:00:00 EDT 2008	265000	38.648879	-121.544023
5615 LUPIN LN	POLLOCK PINES	95726	CA	3	2	1380	Residential	Wed May 21 00:00:00 EDT 2008	265000	38.708315	-120.603872
5625 JAMES WAY	SACRAMENTO	95822	CA	3	1	975	Residential	Wed May 21 00:00:00 EDT 2008	271742	38.523947	-121.484946
7842 LAHONTAN CT	SACRAMENTO	95829	CA	4	3	2372	Residential	Wed May 21 00:00:00 EDT 2008	273750	38.472976	-121.318633
6850 21ST ST	SACRAMENTO	95822	CA	3	2	1446	Residential	Wed May 21 00:00:00 EDT 2008	275086	38.502194	-121.490795
2900 BLAIR RD	POLLOCK PINES	95726	CA	2	2	1284	Residential	Wed May 21 00:00:00 EDT 2008	280908	38.75485	-120.60476
2064 EXPEDITION WAY	SACRAMENTO	95832	CA	4	3	3009	Residential	Wed May 21 00:00:00 EDT 2008	280987	38.474099	-121.490711
2912 NORCADE CIR	SACRAMENTO	95826	CA	8	4	3612	Multi-Family	Wed May 21 00:00:00 EDT 2008	282400	38.559505	-121.364839
9507 SEA CLIFF WAY	ELK GROVE	95758	CA	4	2	2056	Residential	Wed May 21 00:00:00 EDT 2008	285000	38.410992	-121.479043
8882 AUTUMN GOLD CT	ELK GROVE	95624	CA	4	2	1993	Residential	Wed May 21 00:00:00 EDT 2008	287417	38.4439	-121.37255
5322 WHITE LOTUS WAY	ELK GROVE	95757	CA	3	2	1857	Residential	Wed May 21 00:00:00 EDT 2008	291000	38.391538	-121.442596
1838 CASTRO WAY	SACRAMENTO	95818	CA	2	1	1126	Residential	Wed May 21 00:00:00 EDT 2008	292024	38.556098	-121.490787
10158 CRAWFORD WAY	SACRAMENTO	95827	CA	4	4	2213	Multi-Family	Wed May 21 00:00:00 EDT 2008	297000	38.5703	-121.315735
7731 MASTERS ST	ELK GROVE	95758	CA	5	3	2494	Residential	Wed May 21 00:00:00 EDT 2008	297000	38.442031	-121.410873
4925 PERCHERON DR	ELK GROVE	95757	CA	3	2	1843	Residential	Wed May 21 00:00:00 EDT 2008	298000	38.40154	-121.447649
2010 PROMONTORY POINT LN	GOLD RIVER	95670	CA	2	2	1520	Residential	Wed May 21 00:00:00 EDT 2008	299000	38.62869	-121.261669
4727 SAVOIE WAY	SACRAMENTO	95835	CA	5	3	2800	Residential	Wed May 21 00:00:00 EDT 2008	304037	38.658182	-121.549521
8664 MAGNOLIA HILL WAY	ELK GROVE	95624	CA	4	2	2309	Residential	Wed May 21 00:00:00 EDT 2008	311000	38.442352	-121.389675
9570 HARVEST ROSE WAY	SACRAMENTO	95827	CA	5	3	2367	Residential	Wed May 21 00:00:00 EDT 2008	315537	38.555993	-121.340352
4359 CREGAN CT	RANCHO CORDOVA	95742	CA	5	4	3516	Residential	Wed May 21 00:00:00 EDT 2008	320000	38.545128	-121.224922
5337 DUSTY ROSE WAY	RANCHO CORDOVA	95742	CA	0	0	0	Residential	Wed May 21 00:00:00 EDT 2008	320000	38.528575	-121.2286
8929 SUTTERS GOLD DR	SACRAMENTO	95826	CA	4	3	1914	Residential	Wed May 21 00:00:00 EDT 2008	328360	38.550848	-121.370224
8025 PEERLESS AVE	ORANGEVALE	95662	CA	2	1	1690	Residential	Wed May 21 00:00:00 EDT 2008	334150	38.71147	-121.216214
4620 WELERA WAY	ELK GROVE	95757	CA	3	3	2725	Residential	Wed May 21 00:00:00 EDT 2008	335750	38.398609	-121.450148
9723 TERRAPIN CT	ELK GROVE	95757	CA	4	3	2354	Residential	Wed May 21 00:00:00 EDT 2008	335750	38.403492	-121.430224
2115 SMOKESTACK WAY	SACRAMENTO	95833	CA	0	0	0	Residential	Wed May 21 00:00:00 EDT 2008	339500	38.602416	-121.542965
100 REBECCA WAY	FOLSOM	95630	CA	3	2	2185	Residential	Wed May 21 00:00:00 EDT 2008	344250	38.68479	-121.149199
9488 OAK VILLAGE WAY	ELK GROVE	95758	CA	4	2	1801	Residential	Wed May 21 00:00:00 EDT 2008	346210	38.41333	-121.404999
8495 DARTFORD DR	SACRAMENTO	95823	CA	3	3	1961	Residential	Wed May 21 00:00:00 EDT 2008	347029	38.448507	-121.421346
6708 PONTA DO SOL WAY	ELK GROVE	95757	CA	4	2	3134	Residential	Wed May 21 00:00:00 EDT 2008	347650	38.380635	-121.425538
4143 SEA MEADOW WAY	SACRAMENTO	95823	CA	4	3	1915	Residential	Wed May 21 00:00:00 EDT 2008	351300	38.46534	-121.457519
3020 RICHARDSON CIR	EL DORADO HILLS	95762	CA	3	2	0	Residential	Wed May 21 00:00:00 EDT 2008	352000	38.691299	-121.081752
8082 LINDA ISLE LN	SACRAMENTO	95831	CA	0	0	0	Residential	Wed May 21 00:00:00 EDT 2008	370000	38.4772	-121.5215
15300 MURIETA SOUTH PKWY	RANCHO MURIETA	95683	CA	4	3	2734	Residential	Wed May 21 00:00:00 EDT 2008	370500	38.4874	-121.075129
11215 SHARRMONT CT	WILTON	95693	CA	3	2	2110	Residential	Wed May 21 00:00:00 EDT 2008	372000	38.35062	-121.228349
7105 DANBERG WAY	ELK GROVE	95757	CA	5	3	3164	Residential	Wed May 21 00:00:00 EDT 2008	375000	38.4019	-121.420388
5579 JERRY LITELL WAY	SACRAMENTO	95835	CA	5	3	3599	Residential	Wed May 21 00:00:00 EDT 2008	381300	38.677126	-121.500519
1050 FOXHALL WAY	SACRAMENTO	95831	CA	4	2	2054	Residential	Wed May 21 00:00:00 EDT 2008	381942	38.509819	-121.519661
7837 ABBINGTON WAY	ANTELOPE	95843	CA	4	2	1830	Residential	Wed May 21 00:00:00 EDT 2008	387731	38.709873	-121.339472
1300 F ST	SACRAMENTO	95814	CA	3	3	1627	Residential	Wed May 21 00:00:00 EDT 2008	391000	38.58355	-121.487289
6801 RAWLEY WAY	ELK GROVE	95757	CA	4	3	3440	Residential	Wed May 21 00:00:00 EDT 2008	394470	38.408351	-121.423925
1693 SHELTER COVE DR	GREENWOOD	95635	CA	3	2	2846	Residential	Wed May 21 00:00:00 EDT 2008	395000	38.945357	-120.908822
9361 WADDELL LN	ELK GROVE	95624	CA	4	3	2359	Residential	Wed May 21 00:00:00 EDT 2008	400186	38.450829	-121.349928
10 SEA FOAM CT	SACRAMENTO	95831	CA	3	3	2052	Residential	Wed May 21 00:00:00 EDT 2008	415000	38.487885	-121.545947
6945 RIO TEJO WAY	ELK GROVE	95757	CA	5	3	3433	Residential	Wed May 21 00:00:00 EDT 2008	425000	38.385638	-121.422616
4186 TULIP PARK WAY	RANCHO CORDOVA	95742	CA	5	3	3615	Residential	Wed May 21 00:00:00 EDT 2008	430000	38.550617	-121.23526
9278 DAIRY CT	ELK GROVE	95624	CA	0	0	0	Residential	Wed May 21 00:00:00 EDT 2008	445000	38.420338	-121.363757
207 ORANGE BLOSSOM CIR Unit C	FOLSOM	95630	CA	5	3	2687	Residential	Wed May 21 00:00:00 EDT 2008	460000	38.646273	-121.175322
6507 RIO DE ONAR WAY	ELK GROVE	95757	CA	4	3	2724	Residential	Wed May 21 00:00:00 EDT 2008	461000	38.38253	-121.428007
7004 RAWLEY WAY	ELK GROVE	95757	CA	4	3	3440	Residential	Wed May 21 00:00:00 EDT 2008	489332	38.406421	-121.422081
6503 RIO DE ONAR WAY	ELK GROVE	95757	CA	5	4	3508	Residential	Wed May 21 00:00:00 EDT 2008	510000	38.38253	-121.428038
2217 APPALOOSA CT	FOLSOM	95630	CA	4	2	2462	Residential	Wed May 21 00:00:00 EDT 2008	539000	38.655167	-121.090178
868 HILDEBRAND CIR	FOLSOM	95630	CA	0	0	0	Residential	Wed May 21 00:00:00 EDT 2008	585000	38.670947	-121.097727
6030 PALERMO WAY	EL DORADO HILLS	95762	CA	4	3	0	Residential	Wed May 21 00:00:00 EDT 2008	600000	38.672761	-121.050378
4070 REDONDO DR	EL DORADO HILLS	95762	CA	4	3	0	Residential	Wed May 21 00:00:00 EDT 2008	606238	38.666807	-121.06483
4004 CRESTA WAY	SACRAMENTO	95864	CA	3	3	2325	Residential	Wed May 21 00:00:00 EDT 2008	660000	38.591618	-121.370626
315 JUMEL CT	EL DORADO HILLS	95762	CA	6	5	0	Residential	Wed May 21 00:00:00 EDT 2008	830000	38.669931	-121.05958
6272 LONGFORD DR Unit 1	CITRUS HEIGHTS	95621	CA	2	1	795	Condo	Tue May 20 00:00:00 EDT 2008	69000	38.680923	-121.313945
3432 Y ST	SACRAMENTO	95817	CA	4	2	1099	Residential	Tue May 20 00:00:00 EDT 2008	70000	38.554967	-121.468046
9512 EMERALD PARK DR Unit 3	ELK GROVE	95624	CA	2	1	840	Condo	Tue May 20 00:00:00 EDT 2008	71000	38.40573	-121.369832
3132 CLAY ST	SACRAMENTO	95815	CA	2	1	800	Residential	Tue May 20 00:00:00 EDT 2008	78000	38.624678	-121.439203
5221 38TH AVE	SACRAMENTO	95824	CA	2	1	746	Residential	Tue May 20 00:00:00 EDT 2008	78400	38.518044	-121.443555
6112 HERMOSA ST	SACRAMENTO	95822	CA	3	1	1067	Residential	Tue May 20 00:00:00 EDT 2008	80000	38.515125	-121.480416
483 ARCADE BLVD	SACRAMENTO	95815	CA	4	2	1316	Residential	Tue May 20 00:00:00 EDT 2008	89000	38.623571	-121.454884
671 SONOMA AVE	SACRAMENTO	95815	CA	3	1	1337	Residential	Tue May 20 00:00:00 EDT 2008	90000	38.622953	-121.450142
5980 79TH ST	SACRAMENTO	95824	CA	2	1	868	Residential	Tue May 20 00:00:00 EDT 2008	90000	38.518373	-121.411779
7607 ELDER CREEK RD	SACRAMENTO	95824	CA	3	1	924	Residential	Tue May 20 00:00:00 EDT 2008	92000	38.51055	-121.414768
5028 14TH AVE	SACRAMENTO	95820	CA	2	1	610	Residential	Tue May 20 00:00:00 EDT 2008	93675	38.53942	-121.446894
14788 NATCHEZ CT	RANCHO MURIETA	95683	CA	0	0	0	Residential	Tue May 20 00:00:00 EDT 2008	97750	38.492287	-121.100032
1069 ACACIA AVE	SACRAMENTO	95815	CA	2	1	1220	Residential	Tue May 20 00:00:00 EDT 2008	98000	38.621998	-121.442238
5201 LAGUNA OAKS DR Unit 199	ELK GROVE	95758	CA	1	1	722	Condo	Tue May 20 00:00:00 EDT 2008	98000	38.423251	-121.444489
3847 LAS PASAS WAY	SACRAMENTO	95864	CA	3	1	1643	Residential	Tue May 20 00:00:00 EDT 2008	99000	38.588672	-121.373916
5201 LAGUNA OAKS DR Unit 172	ELK GROVE	95758	CA	1	1	722	Condo	Tue May 20 00:00:00 EDT 2008	100000	38.423251	-121.444489
1121 CREEKSIDE WAY	GALT	95632	CA	3	1	1080	Residential	Tue May 20 00:00:00 EDT 2008	106716	38.241514	-121.312199
5307 CABRILLO WAY	SACRAMENTO	95820	CA	3	1	1039	Residential	Tue May 20 00:00:00 EDT 2008	111000	38.52712	-121.435348
3725 DON JULIO BLVD	NORTH HIGHLANDS	95660	CA	3	1	1051	Residential	Tue May 20 00:00:00 EDT 2008	111000	38.67895	-121.379406
4803 MCCLOUD DR	SACRAMENTO	95842	CA	2	2	967	Residential	Tue May 20 00:00:00 EDT 2008	114800	38.682279	-121.352817
10542 SILVERWOOD WAY	RANCHO CORDOVA	95670	CA	3	1	1098	Residential	Tue May 20 00:00:00 EDT 2008	120108	38.587156	-121.295778
6318 39TH AVE	SACRAMENTO	95824	CA	3	1	1050	Residential	Tue May 20 00:00:00 EDT 2008	123225	38.518942	-121.430158
211 MCDANIEL CIR	SACRAMENTO	95838	CA	3	2	1110	Residential	Tue May 20 00:00:00 EDT 2008	123750	38.636565	-121.460383
3800 LYNHURST WAY	NORTH HIGHLANDS	95660	CA	3	1	888	Residential	Tue May 20 00:00:00 EDT 2008	125000	38.650445	-121.374861
6139 HERMOSA ST	SACRAMENTO	95822	CA	3	2	1120	Residential	Tue May 20 00:00:00 EDT 2008	125000	38.514665	-121.480411
2505 RHINE WAY	ELVERTA	95626	CA	3	2	1080	Residential	Tue May 20 00:00:00 EDT 2008	126000	38.717976	-121.407684
3692 PAYNE WAY	NORTH HIGHLANDS	95660	CA	3	1	957	Residential	Tue May 20 00:00:00 EDT 2008	129000	38.66654	-121.378298
604 MORRISON AVE	SACRAMENTO	95838	CA	2	1	952	Residential	Tue May 20 00:00:00 EDT 2008	134000	38.637678	-121.452476
648 SANTA ANA AVE	SACRAMENTO	95838	CA	3	2	1211	Residential	Tue May 20 00:00:00 EDT 2008	135000	38.658478	-121.450409
14 ASHLEY OAKS CT	SACRAMENTO	95815	CA	3	2	1264	Residential	Tue May 20 00:00:00 EDT 2008	135500	38.61779	-121.436765
3174 NORTHVIEW DR	SACRAMENTO	95833	CA	3	1	1080	Residential	Tue May 20 00:00:00 EDT 2008	140000	38.623817	-121.477827
840 TRANQUIL LN	GALT	95632	CA	3	2	1266	Residential	Tue May 20 00:00:00 EDT 2008	140000	38.270617	-121.299205
5333 PRIMROSE DR Unit 19A	FAIR OAKS	95628	CA	2	2	994	Condo	Tue May 20 00:00:00 EDT 2008	142500	38.662785	-121.276272
